[31-Jan-2022 14:41:25 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 11:41:25 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[31-Jan-2022 11:41:25 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[31-Jan-2022 14:41:57 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 11:41:58 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\vlucas\phpdotenv\src\Repository\Adapter\ArrayAdapter.php on line 8
[31-Jan-2022 14:47:03 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 14:47:57 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 11:47:57 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[31-Jan-2022 11:47:57 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[31-Jan-2022 14:52:15 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 14:57:30 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 11:57:30 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[31-Jan-2022 11:57:30 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[31-Jan-2022 14:58:06 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 14:58:39 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 11:58:39 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[31-Jan-2022 11:58:39 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[31-Jan-2022 15:11:27 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 12:11:27 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[31-Jan-2022 12:11:27 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[31-Jan-2022 15:12:44 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 12:12:44 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[31-Jan-2022 12:12:44 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[31-Jan-2022 15:22:51 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 12:22:51 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[31-Jan-2022 12:22:51 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[31-Jan-2022 15:24:00 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:03:09 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:03:23 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:05:45 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:05:49 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:07:38 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:14:45 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:15:21 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:15:26 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:15:39 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:17:27 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:17:32 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:18:25 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:24:46 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:25:36 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:25:41 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:30:07 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:47:31 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:47:36 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:53:46 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:53:51 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:57:13 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[31-Jan-2022 16:58:31 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[01-Feb-2022 17:56:14 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[08-Feb-2022 13:55:01 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[08-Feb-2022 14:00:19 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[08-Feb-2022 14:03:13 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[08-Feb-2022 11:03:13 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[08-Feb-2022 11:03:13 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[08-Feb-2022 14:03:58 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[08-Feb-2022 11:03:58 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[08-Feb-2022 11:03:58 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[08-Feb-2022 14:05:41 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[08-Feb-2022 11:05:41 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[08-Feb-2022 11:05:41 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[08-Feb-2022 14:06:13 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[08-Feb-2022 11:06:13 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\laravel\framework\src\Illuminate\Http\Request.php on line 20
[08-Feb-2022 14:07:59 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[08-Feb-2022 11:07:59 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[08-Feb-2022 11:07:59 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[08-Feb-2022 14:09:04 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[08-Feb-2022 11:09:04 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[08-Feb-2022 11:09:04 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[08-Feb-2022 14:10:08 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[08-Feb-2022 11:10:08 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[08-Feb-2022 11:10:08 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[08-Feb-2022 14:11:23 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[08-Feb-2022 14:14:33 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
